GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09179125;Grafrath;männlich;1,89;0,35;0,44;0,70;0,41
09179125;Grafrath;weiblich;1,98;0,36;0,40;0,72;0,50
09179125;Grafrath;Insgesamt;3,88;0,71;0,83;1,42;0,91
09179126;Gröbenzell;männlich;9,77;1,70;2,33;3,60;2,14
09179126;Gröbenzell;weiblich;10,26;1,65;2,15;3,67;2,79
09179126;Gröbenzell;Insgesamt;20,03;3,35;4,48;7,27;4,93
09179128;Hattenhofen;männlich;0,78;0,14;0,19;0,32;0,13
09179128;Hattenhofen;weiblich;0,77;0,15;0,19;0,29;0,15
09179128;Hattenhofen;Insgesamt;1,55;0,28;0,38;0,61;0,28
09179130;Jesenwang;männlich;0,74;0,15;0,17;0,28;0,14
09179130;Jesenwang;weiblich;0,84;0,13;0,19;0,29;0,23
09179130;Jesenwang;Insgesamt;1,57;0,28;0,36;0,57;0,36
09179131;Kottgeisering;männlich;0,78;0,14;0,20;0,27;0,17
09179131;Kottgeisering;weiblich;0,83;0,17;0,17;0,31;0,18
09179131;Kottgeisering;Insgesamt;1,61;0,31;0,37;0,58;0,35
09179132;Landsberied;männlich;0,82;0,17;0,20;0,33;0,12
09179132;Landsberied;weiblich;0,79;0,13;0,21;0,31;0,15
09179132;Landsberied;Insgesamt;1,61;0,31;0,41;0,63;0,26
09179134;Maisach;männlich;7,09;1,35;1,89;2,63;1,22
09179134;Maisach;weiblich;7,21;1,23;1,83;2,62;1,53
09179134;Maisach;Insgesamt;14,29;2,58;3,72;5,25;2,74
09179136;Mammendorf;männlich;2,44;0,44;0,70;0,94;0,35
09179136;Mammendorf;weiblich;2,39;0,42;0,64;0,92;0,41
09179136;Mammendorf;Insgesamt;4,83;0,87;1,35;1,86;0,76
09179137;Mittelstetten;männlich;0,84;0,15;0,20;0,33;0,16
09179137;Mittelstetten;weiblich;0,87;0,16;0,20;0,34;0,18
09179137;Mittelstetten;Insgesamt;1,71;0,31;0,40;0,67;0,34
09179138;Moorenweis;männlich;2,14;0,43;0,56;0,81;0,35
09179138;Moorenweis;weiblich;2,02;0,37;0,48;0,78;0,38
09179138;Moorenweis;Insgesamt;4,16;0,80;1,04;1,59;0,73
09179140;Oberschweinbach;männlich;0,84;0,16;0,21;0,32;0,16
09179140;Oberschweinbach;weiblich;0,87;0,14;0,20;0,34;0,20
09179140;Oberschweinbach;Insgesamt;1,72;0,30;0,40;0,66;0,36
09179142;Olching, St;männlich;13,73;2,51;3,75;5,05;2,42
09179142;Olching, St;weiblich;14,25;2,48;3,56;5,16;3,06
09179142;Olching, St;Insgesamt;27,99;4,99;7,31;10,21;5,48
09179145;Puchheim, St;männlich;10,44;2,01;2,68;3,52;2,24
09179145;Puchheim, St;weiblich;10,98;2,04;2,60;3,51;2,84
09179145;Puchheim, St;Insgesamt;21,42;4,04;5,27;7,03;5,08
09179147;Schöngeising;männlich;0,98;0,18;0,22;0,37;0,21
09179147;Schöngeising;weiblich;0,93;0,15;0,20;0,36;0,22
09179147;Schöngeising;Insgesamt;1,91;0,33;0,42;0,73;0,43
09179149;Türkenfeld;männlich;1,87;0,32;0,47;0,76;0,32
09179149;Türkenfeld;weiblich;1,82;0,31;0,40;0,73;0,38
09179149;Türkenfeld;Insgesamt;3,69;0,63;0,87;1,49;0,70
09180112;Bad Kohlgrub;männlich;1,42;0,28;0,38;0,51;0,25
09180112;Bad Kohlgrub;weiblich;1,44;0,22;0,37;0,51;0,33
09180112;Bad Kohlgrub;Insgesamt;2,85;0,50;0,75;1,03;0,58
09180113;Bad Bayersoien;männlich;0,60;0,09;0,16;0,21;0,13
09180113;Bad Bayersoien;weiblich;0,62;0,09;0,16;0,22;0,15
09180113;Bad Bayersoien;Insgesamt;1,22;0,19;0,32;0,43;0,28
09180114;Eschenlohe;männlich;0,77;0,13;0,17;0,28;0,18
09180114;Eschenlohe;weiblich;0,81;0,11;0,19;0,29;0,22
09180114;Eschenlohe;Insgesamt;1,58;0,24;0,36;0,58;0,41
09180115;Ettal;männlich;0,43;0,06;0,17;0,14;0,06
09180115;Ettal;weiblich;0,33;0,04;0,09;0,13;0,07
09180115;Ettal;Insgesamt;0,76;0,10;0,26;0,27;0,14
09180116;Farchant;männlich;1,76;0,26;0,46;0,65;0,39
09180116;Farchant;weiblich;1,85;0,25;0,45;0,69;0,47
09180116;Farchant;Insgesamt;3,61;0,51;0,91;1,34;0,86
09180117;Garmisch-Partenkirchen, M;männlich;13,01;2,03;3,41;4,39;3,19
09180117;Garmisch-Partenkirchen, M;weiblich;14,20;1,89;3,16;4,72;4,44
09180117;Garmisch-Partenkirchen, M;Insgesamt;27,22;3,92;6,57;9,10;7,63
09180118;Grainau;männlich;1,67;0,23;0,45;0,60;0,39
09180118;Grainau;weiblich;1,77;0,25;0,39;0,62;0,51
09180118;Grainau;Insgesamt;3,44;0,48;0,84;1,22;0,91
09180119;Großweil;männlich;0,74;0,15;0,20;0,26;0,13
09180119;Großweil;weiblich;0,76;0,13;0,22;0,26;0,15
09180119;Großweil;Insgesamt;1,50;0,28;0,42;0,53;0,28
09180122;Krün;männlich;0,94;0,11;0,28;0,33;0,22
09180122;Krün;weiblich;0,98;0,14;0,24;0,35;0,25
09180122;Krün;Insgesamt;1,92;0,25;0,52;0,68;0,47
09180123;Mittenwald, M;männlich;3,63;0,46;1,08;1,21;0,88
09180123;Mittenwald, M;weiblich;3,69;0,45;0,84;1,27;1,13
09180123;Mittenwald, M;Insgesamt;7,33;0,91;1,92;2,49;2,01
09180124;Murnau a.Staffelsee, M;männlich;5,75;1,03;1,45;2,06;1,21
09180124;Murnau a.Staffelsee, M;weiblich;6,43;0,93;1,41;2,31;1,78
09180124;Murnau a.Staffelsee, M;Insgesamt;12,18;1,96;2,86;4,37;2,99
09180125;Oberammergau;männlich;2,66;0,48;0,65;0,92;0,61
09180125;Oberammergau;weiblich;2,86;0,43;0,66;1,01;0,77
09180125;Oberammergau;Insgesamt;5,51;0,91;1,31;1,92;1,38
09180126;Oberau;männlich;1,62;0,26;0,43;0,57;0,35
09180126;Oberau;weiblich;1,64;0,24;0,37;0,58;0,44
09180126;Oberau;Insgesamt;3,25;0,51;0,80;1,15;0,79
09180127;Ohlstadt;männlich;1,59;0,27;0,39;0,59;0,34
09180127;Ohlstadt;weiblich;1,69;0,27;0,37;0,65;0,39
09180127;Ohlstadt;Insgesamt;3,28;0,54;0,76;1,24;0,73
09180128;Riegsee;männlich;0,57;0,10;0,13;0,22;0,13
09180128;Riegsee;weiblich;0,62;0,08;0,14;0,25;0,15
09180128;Riegsee;Insgesamt;1,19;0,18;0,27;0,46;0,29
09180129;Saulgrub;männlich;0,83;0,16;0,20;0,31;0,15
09180129;Saulgrub;weiblich;0,83;0,13;0,21;0,32;0,18
09180129;Saulgrub;Insgesamt;1,66;0,29;0,42;0,62;0,33
09180131;Schwaigen;männlich;0,31;0,07;0,06;0,11;0,07
09180131;Schwaigen;weiblich;0,28;0,04;0,07;0,10;0,07
09180131;Schwaigen;Insgesamt;0,59;0,12;0,13;0,22;0,13
09180132;Seehausen a.Staffelsee;männlich;1,22;0,21;0,29;0,45;0,26
09180132;Seehausen a.Staffelsee;weiblich;1,26;0,22;0,26;0,46;0,32
09180132;Seehausen a.Staffelsee;Insgesamt;2,48;0,43;0,56;0,92;0,58
09180133;Spatzenhausen;männlich;0,40;0,06;0,12;0,15;0,07
09180133;Spatzenhausen;weiblich;0,34;0,05;0,10;0,13;0,07
09180133;Spatzenhausen;Insgesamt;0,74;0,10;0,21;0,27;0,15
09180134;Uffing a.Staffelsee;männlich;1,43;0,24;0,33;0,55;0,30
09180134;Uffing a.Staffelsee;weiblich;1,58;0,27;0,34;0,59;0,37
09180134;Uffing a.Staffelsee;Insgesamt;3,01;0,51;0,67;1,15;0,67
09180135;Unterammergau;männlich;0,82;0,15;0,20;0,31;0,16
09180135;Unterammergau;weiblich;0,77;0,13;0,19;0,27;0,18
09180135;Unterammergau;Insgesamt;1,59;0,28;0,39;0,58;0,34
09180136;Wallgau;männlich;0,77;0,14;0,21;0,25;0,17
09180136;Wallgau;weiblich;0,76;0,12;0,19;0,26;0,20
09180136;Wallgau;Insgesamt;1,53;0,26;0,39;0,51;0,37
09180444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09180444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09180444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09181111;Apfeldorf;männlich;0,59;0,10;0,16;0,22;0,11
09181111;Apfeldorf;weiblich;0,55;0,10;0,15;0,20;0,11
