GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09187162;Prien a.Chiemsee, M;männlich;4,97;0,83;1,19;1,68;1,28
09187162;Prien a.Chiemsee, M;weiblich;5,82;0,86;1,13;2,04;1,80
09187162;Prien a.Chiemsee, M;Insgesamt;10,79;1,68;2,31;3,71;3,08
09187163;Prutting;männlich;1,42;0,30;0,37;0,52;0,23
09187163;Prutting;weiblich;1,47;0,29;0,37;0,54;0,27
09187163;Prutting;Insgesamt;2,89;0,58;0,75;1,06;0,50
09187164;Ramerberg;männlich;0,71;0,14;0,20;0,27;0,11
09187164;Ramerberg;weiblich;0,66;0,12;0,17;0,25;0,13
09187164;Ramerberg;Insgesamt;1,37;0,25;0,37;0,52;0,23
09187165;Raubling;männlich;5,73;0,97;1,52;2,20;1,04
09187165;Raubling;weiblich;5,74;0,94;1,31;2,19;1,31
09187165;Raubling;Insgesamt;11,47;1,91;2,83;4,38;2,35
09187167;Riedering;männlich;2,76;0,50;0,76;0,97;0,54
09187167;Riedering;weiblich;2,80;0,46;0,71;1,02;0,62
09187167;Riedering;Insgesamt;5,56;0,96;1,46;1,98;1,16
09187168;Rimsting;männlich;1,89;0,35;0,47;0,63;0,44
09187168;Rimsting;weiblich;2,08;0,30;0,47;0,70;0,60
09187168;Rimsting;Insgesamt;3,97;0,65;0,95;1,34;1,04
09187169;Rohrdorf;männlich;2,93;0,55;0,79;1,06;0,53
09187169;Rohrdorf;weiblich;2,92;0,52;0,73;1,02;0,64
09187169;Rohrdorf;Insgesamt;5,85;1,07;1,53;2,09;1,17
09187170;Rott a.Inn;männlich;2,10;0,43;0,57;0,75;0,35
09187170;Rott a.Inn;weiblich;2,00;0,35;0,53;0,73;0,39
09187170;Rott a.Inn;Insgesamt;4,10;0,78;1,11;1,47;0,74
09187172;Samerberg;männlich;1,39;0,24;0,37;0,49;0,29
09187172;Samerberg;weiblich;1,40;0,25;0,36;0,50;0,30
09187172;Samerberg;Insgesamt;2,79;0,49;0,72;0,99;0,59
09187173;Schonstett;männlich;0,70;0,14;0,21;0,25;0,10
09187173;Schonstett;weiblich;0,67;0,13;0,19;0,25;0,11
09187173;Schonstett;Insgesamt;1,37;0,26;0,39;0,50;0,21
09187174;Söchtenau;männlich;1,35;0,24;0,37;0,49;0,25
09187174;Söchtenau;weiblich;1,32;0,23;0,35;0,46;0,28
09187174;Söchtenau;Insgesamt;2,68;0,47;0,73;0,95;0,53
09187176;Soyen;männlich;1,43;0,22;0,39;0,51;0,31
09187176;Soyen;weiblich;1,44;0,23;0,33;0,55;0,33
09187176;Soyen;Insgesamt;2,86;0,45;0,72;1,06;0,64
09187177;Stephanskirchen;männlich;5,13;0,99;1,25;1,80;1,09
09187177;Stephanskirchen;weiblich;5,46;0,89;1,25;1,93;1,40
09187177;Stephanskirchen;Insgesamt;10,59;1,88;2,50;3,73;2,49
09187179;Tuntenhausen;männlich;3,73;0,73;1,11;1,37;0,52
09187179;Tuntenhausen;weiblich;3,49;0,65;0,91;1,30;0,63
09187179;Tuntenhausen;Insgesamt;7,21;1,38;2,02;2,66;1,15
09187181;Vogtareuth;männlich;1,55;0,28;0,46;0,56;0,24
09187181;Vogtareuth;weiblich;1,50;0,28;0,39;0,56;0,28
09187181;Vogtareuth;Insgesamt;3,05;0,56;0,85;1,12;0,53
09187182;Wasserburg a.Inn, St;männlich;6,43;0,97;1,96;2,35;1,16
09187182;Wasserburg a.Inn, St;weiblich;6,37;0,96;1,67;2,32;1,43
09187182;Wasserburg a.Inn, St;Insgesamt;12,80;1,93;3,62;4,66;2,59
09187186;Albaching;männlich;0,90;0,18;0,25;0,33;0,13
09187186;Albaching;weiblich;0,86;0,18;0,23;0,33;0,13
09187186;Albaching;Insgesamt;1,76;0,36;0,48;0,66;0,27
09187444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09187444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09187444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09188113;Berg;männlich;4,15;0,77;1,00;1,58;0,80
09188113;Berg;weiblich;4,15;0,67;0,92;1,63;0,94
09188113;Berg;Insgesamt;8,30;1,43;1,92;3,21;1,74
09188117;Andechs;männlich;1,94;0,39;0,49;0,72;0,34
09188117;Andechs;weiblich;1,84;0,38;0,41;0,67;0,37
09188117;Andechs;Insgesamt;3,78;0,77;0,90;1,40;0,71
09188118;Feldafing;männlich;2,00;0,34;0,41;0,75;0,51
09188118;Feldafing;weiblich;2,24;0,34;0,41;0,82;0,67
09188118;Feldafing;Insgesamt;4,24;0,68;0,82;1,56;1,18
09188120;Gauting;männlich;9,98;1,96;2,25;3,68;2,09
09188120;Gauting;weiblich;10,78;2,00;2,24;3,99;2,56
09188120;Gauting;Insgesamt;20,76;3,96;4,49;7,67;4,65
09188121;Gilching;männlich;9,46;1,77;2,53;3,36;1,80
09188121;Gilching;weiblich;9,70;1,77;2,40;3,40;2,13
09188121;Gilching;Insgesamt;19,16;3,55;4,93;6,76;3,93
09188124;Herrsching a.Ammersee;männlich;5,03;0,89;1,25;1,71;1,18
09188124;Herrsching a.Ammersee;weiblich;5,68;0,86;1,19;2,08;1,54
09188124;Herrsching a.Ammersee;Insgesamt;10,71;1,75;2,44;3,80;2,72
09188126;Inning a.Ammersee;männlich;2,44;0,47;0,52;0,96;0,48
09188126;Inning a.Ammersee;weiblich;2,39;0,42;0,50;0,93;0,56
09188126;Inning a.Ammersee;Insgesamt;4,83;0,89;1,02;1,89;1,04
09188127;Krailling;männlich;3,79;0,70;0,92;1,36;0,81
09188127;Krailling;weiblich;4,08;0,68;0,81;1,42;1,17
09188127;Krailling;Insgesamt;7,87;1,37;1,72;2,79;1,98
09188132;Seefeld;männlich;3,79;0,69;0,94;1,40;0,75
09188132;Seefeld;weiblich;3,77;0,63;0,80;1,42;0,92
09188132;Seefeld;Insgesamt;7,55;1,32;1,74;2,82;1,67
09188137;Pöcking;männlich;2,71;0,48;0,62;0,94;0,67
09188137;Pöcking;weiblich;2,89;0,44;0,58;1,05;0,82
09188137;Pöcking;Insgesamt;5,60;0,93;1,19;1,99;1,49
09188139;Starnberg, St;männlich;11,07;2,13;2,69;3,92;2,33
09188139;Starnberg, St;weiblich;12,42;2,01;2,79;4,47;3,16
09188139;Starnberg, St;Insgesamt;23,49;4,14;5,48;8,38;5,50
09188141;Tutzing;männlich;4,69;0,85;1,03;1,71;1,11
09188141;Tutzing;weiblich;5,23;0,84;1,04;1,88;1,48
09188141;Tutzing;Insgesamt;9,92;1,69;2,06;3,59;2,58
09188144;Weßling;männlich;2,79;0,55;0,70;0,99;0,56
09188144;Weßling;weiblich;2,69;0,49;0,59;1,00;0,62
09188144;Weßling;Insgesamt;5,49;1,03;1,29;1,99;1,18
09188145;Wörthsee;männlich;2,43;0,47;0,47;0,95;0,54
09188145;Wörthsee;weiblich;2,54;0,46;0,48;1,02;0,59
09188145;Wörthsee;Insgesamt;4,97;0,92;0,95;1,97;1,13
09188444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09188444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09188444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09189111;Altenmarkt a.d.Alz;männlich;2,04;0,28;0,57;0,81;0,39
09189111;Altenmarkt a.d.Alz;weiblich;2,10;0,32;0,53;0,78;0,47
09189111;Altenmarkt a.d.Alz;Insgesamt;4,15;0,59;1,10;1,60;0,85
09189113;Bergen;männlich;2,38;0,36;0,59;0,84;0,59
09189113;Bergen;weiblich;2,51;0,31;0,52;0,93;0,75
09189113;Bergen;Insgesamt;4,89;0,68;1,11;1,77;1,34
09189114;Chieming;männlich;2,41;0,40;0,62;0,89;0,51
09189114;Chieming;weiblich;2,56;0,40;0,60;0,97;0,61
09189114;Chieming;Insgesamt;4,98;0,79;1,22;1,85;1,11
09189115;Engelsberg;männlich;1,30;0,26;0,36;0,44;0,24
09189115;Engelsberg;weiblich;1,26;0,21;0,37;0,43;0,25
09189115;Engelsberg;Insgesamt;2,56;0,47;0,73;0,87;0,49
09189118;Fridolfing;männlich;2,22;0,40;0,65;0,80;0,38
09189118;Fridolfing;weiblich;2,18;0,39;0,56;0,79;0,44
09189118;Fridolfing;Insgesamt;4,40;0,78;1,21;1,59;0,82
09189119;Grabenstätt;männlich;2,11;0,34;0,53;0,74;0,50
09189119;Grabenstätt;weiblich;2,27;0,36;0,51;0,82;0,59
09189119;Grabenstätt;Insgesamt;4,38;0,70;1,03;1,56;1,09
09189120;Grassau, M;männlich;3,39;0,57;0,86;1,19;0,78
09189120;Grassau, M;weiblich;3,49;0,57;0,75;1,22;0,95
09189120;Grassau, M;Insgesamt;6,88;1,14;1,60;2,41;1,73
09189124;Inzell;männlich;2,40;0,37;0,62;0,83;0,59
09189124;Inzell;weiblich;2,43;0,36;0,54;0,84;0,69
09189124;Inzell;Insgesamt;4,83;0,73;1,15;1,67;1,27
09189126;Kienberg;männlich;0,72;0,14;0,17;0,28;0,13
09189126;Kienberg;weiblich;0,70;0,13;0,16;0,25;0,15
09189126;Kienberg;Insgesamt;1,41;0,28;0,34;0,53;0,28
09189127;Kirchanschöring;männlich;1,69;0,36;0,46;0,57;0,30
09189127;Kirchanschöring;weiblich;1,64;0,32;0,40;0,59;0,34
09189127;Kirchanschöring;Insgesamt;3,33;0,67;0,86;1,16;0,64
09189129;Marquartstein;männlich;1,56;0,25;0,37;0,52;0,42
09189129;Marquartstein;weiblich;1,71;0,22;0,36;0,60;0,54
09189129;Marquartstein;Insgesamt;3,27;0,47;0,73;1,12;0,96
09189130;Nußdorf;männlich;1,23;0,23;0,26;0,48;0,27
09189130;Nußdorf;weiblich;1,23;0,20;0,26;0,47;0,31
09189130;Nußdorf;Insgesamt;2,46;0,42;0,52;0,94;0,57
09189133;Obing;männlich;2,14;0,36;0,63;0,78;0,38
09189133;Obing;weiblich;2,19;0,38;0,55;0,77;0,49
09189133;Obing;Insgesamt;4,33;0,74;1,18;1,55;0,87
09189134;Palling;männlich;1,77;0,30;0,50;0,64;0,33
09189134;Palling;weiblich;1,72;0,32;0,44;0,59;0,37
09189134;Palling;Insgesamt;3,49;0,63;0,95;1,23;0,69
09189135;Petting;männlich;1,22;0,22;0,34;0,46;0,20
09189135;Petting;weiblich;1,11;0,17;0,28;0,43;0,22
09189135;Petting;Insgesamt;2,32;0,39;0,63;0,88;0,42
09189137;Pittenhart;männlich;0,91;0,17;0,23;0,35;0,16
09189137;Pittenhart;weiblich;0,92;0,18;0,23;0,33;0,18
09189137;Pittenhart;Insgesamt;1,83;0,35;0,46;0,69;0,34
09189139;Reit im Winkl;männlich;1,18;0,12;0,31;0,45;0,30
09189139;Reit im Winkl;weiblich;1,15;0,12;0,25;0,44;0,34
09189139;Reit im Winkl;Insgesamt;2,33;0,25;0,55;0,89;0,64
09189140;Ruhpolding;männlich;3,43;0,53;0,81;1,24;0,85
09189140;Ruhpolding;weiblich;3,64;0,48;0,78;1,31;1,07
09189140;Ruhpolding;Insgesamt;7,07;1,01;1,59;2,55;1,92
09189141;Schleching;männlich;0,92;0,13;0,19;0,34;0,27
09189141;Schleching;weiblich;0,93;0,11;0,20;0,35;0,28
09189141;Schleching;Insgesamt;1,86;0,24;0,39;0,69;0,54
09189142;Schnaitsee;männlich;1,87;0,35;0,52;0,66;0,35
09189142;Schnaitsee;weiblich;1,78;0,34;0,45;0,62;0,37
09189142;Schnaitsee;Insgesamt;3,65;0,68;0,97;1,28;0,72
09189143;Seeon-Seebruck;männlich;2,22;0,35;0,58;0,83;0,46
09189143;Seeon-Seebruck;weiblich;2,27;0,33;0,53;0,88;0,53
09189143;Seeon-Seebruck;Insgesamt;4,49;0,68;1,11;1,71;1,00
09189145;Siegsdorf;männlich;4,11;0,66;1,05;1,50;0,89
09189145;Siegsdorf;weiblich;4,21;0,66;0,90;1,49;1,16
09189145;Siegsdorf;Insgesamt;8,31;1,32;1,95;2,99;2,04
09189146;Staudach-Egerndach;männlich;0,59;0,11;0,14;0,22;0,12
09189146;Staudach-Egerndach;weiblich;0,56;0,09;0,12;0,21;0,14
09189146;Staudach-Egerndach;Insgesamt;1,15;0,20;0,26;0,43;0,26
09189148;Surberg;männlich;1,70;0,37;0,39;0,62;0,32
09189148;Surberg;weiblich;1,72;0,31;0,41;0,64;0,36
09189148;Surberg;Insgesamt;3,42;0,68;0,80;1,26;0,68
09189149;Tacherting;männlich;2,89;0,49;0,80;1,08;0,53
09189149;Tacherting;weiblich;2,87;0,50;0,74;1,03;0,62
09189149;Tacherting;Insgesamt;5,77;0,99;1,54;2,10;1,14
09189150;Taching a.See;männlich;1,08;0,17;0,31;0,39;0,21
09189150;Taching a.See;weiblich;1,07;0,18;0,27;0,39;0,24
09189150;Taching a.See;Insgesamt;2,15;0,35;0,58;0,77;0,44
09189152;Tittmoning, St;männlich;2,94;0,49;0,84;1,10;0,53
09189152;Tittmoning, St;weiblich;2,88;0,43;0,73;1,06;0,66
09189152;Tittmoning, St;Insgesamt;5,82;0,92;1,57;2,16;1,18
09189154;Traunreut, St;männlich;10,36;1,79;2,87;3,65;2,06
09189154;Traunreut, St;weiblich;10,57;1,71;2,52;3,60;2,74
09189154;Traunreut, St;Insgesamt;20,93;3,50;5,39;7,24;4,80
09189155;Traunstein, GKSt;männlich;9,91;1,69;3,01;3,22;1,99
09189155;Traunstein, GKSt;weiblich;10,69;1,67;2,69;3,59;2,75
09189155;Traunstein, GKSt;Insgesamt;20,60;3,35;5,69;6,82;4,74
09189157;Trostberg, St;männlich;5,55;0,94;1,50;1,92;1,18
09189157;Trostberg, St;weiblich;5,75;0,88;1,33;1,92;1,62
09189157;Trostberg, St;Insgesamt;11,30;1,82;2,83;3,84;2,80
09189159;Übersee;männlich;2,47;0,40;0,65;0,94;0,48
09189159;Übersee;weiblich;2,53;0,37;0,61;1,00;0,56
09189159;Übersee;Insgesamt;5,00;0,76;1,26;1,93;1,04
09189160;Unterwössen;männlich;1,77;0,28;0,37;0,61;0,50
09189160;Unterwössen;weiblich;1,81;0,26;0,36;0,64;0,55
09189160;Unterwössen;Insgesamt;3,58;0,54;0,74;1,25;1,05
09189161;Vachendorf;männlich;0,87;0,14;0,22;0,33;0,18
09189161;Vachendorf;weiblich;0,95;0,19;0,22;0,34;0,20
09189161;Vachendorf;Insgesamt;1,81;0,33;0,44;0,67;0,37
09189162;Waging a.See, M;männlich;3,48;0,61;0,93;1,25;0,68
09189162;Waging a.See, M;weiblich;3,55;0,57;0,90;1,23;0,84
09189162;Waging a.See, M;Insgesamt;7,03;1,19;1,83;2,49;1,53
09189165;Wonneberg;männlich;0,80;0,16;0,22;0,31;0,12
09189165;Wonneberg;weiblich;0,77;0,15;0,21;0,29;0,13
09189165;Wonneberg;Insgesamt;1,57;0,31;0,42;0,60;0,24
09189444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09189444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09189444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09190111;Altenstadt;männlich;1,66;0,27;0,49;0,58;0,33
09190111;Altenstadt;weiblich;1,65;0,27;0,37;0,60;0,40
09190111;Altenstadt;Insgesamt;3,31;0,54;0,86;1,17;0,73
09190113;Antdorf;männlich;0,66;0,14;0,17;0,24;0,11
09190113;Antdorf;weiblich;0,66;0,14;0,18;0,23;0,11
09190113;Antdorf;Insgesamt;1,32;0,28;0,36;0,47;0,22
09190114;Bernbeuren;männlich;1,25;0,21;0,36;0,47;0,22
09190114;Bernbeuren;weiblich;1,17;0,20;0,29;0,46;0,22
09190114;Bernbeuren;Insgesamt;2,42;0,41;0,64;0,92;0,44
09190115;Bernried am Starnberger See;männlich;1,13;0,22;0,26;0,42;0,24
09190115;Bernried am Starnberger See;weiblich;1,22;0,21;0,27;0,47;0,27
09190115;Bernried am Starnberger See;Insgesamt;2,35;0,43;0,53;0,89;0,51
09190117;Böbing;männlich;0,97;0,21;0,26;0,34;0,16
09190117;Böbing;weiblich;0,91;0,18;0,25;0,32;0,17
09190117;Böbing;Insgesamt;1,88;0,38;0,51;0,66;0,33
09190118;Burggen;männlich;0,87;0,17;0,23;0,32;0,16
09190118;Burggen;weiblich;0,83;0,16;0,21;0,31;0,16
09190118;Burggen;Insgesamt;1,70;0,32;0,43;0,63;0,31
09190120;Eberfing;männlich;0,73;0,15;0,19;0,27;0,12
09190120;Eberfing;weiblich;0,73;0,14;0,19;0,27;0,13
09190120;Eberfing;Insgesamt;1,46;0,29;0,39;0,54;0,25
09190121;Eglfing;männlich;0,55;0,11;0,13;0,21;0,10
09190121;Eglfing;weiblich;0,54;0,10;0,13;0,21;0,10
09190121;Eglfing;Insgesamt;1,09;0,21;0,26;0,42;0,20
09190126;Habach;männlich;0,56;0,10;0,15;0,24;0,08
09190126;Habach;weiblich;0,60;0,14;0,15;0,21;0,10
09190126;Habach;Insgesamt;1,16;0,24;0,29;0,45;0,17
09190129;Hohenfurch;männlich;0,87;0,17;0,23;0,29;0,17
09190129;Hohenfurch;weiblich;0,82;0,14;0,22;0,28;0,18
09190129;Hohenfurch;Insgesamt;1,68;0,31;0,45;0,58;0,35
09190130;Hohenpeißenberg;männlich;1,94;0,30;0,45;0,71;0,49
09190130;Hohenpeißenberg;weiblich;1,91;0,27;0,43;0,72;0,49
09190130;Hohenpeißenberg;Insgesamt;3,85;0,58;0,87;1,43;0,98
09190131;Huglfing;männlich;1,42;0,28;0,36;0,53;0,26
09190131;Huglfing;weiblich;1,46;0,28;0,35;0,54;0,28
09190131;Huglfing;Insgesamt;2,88;0,56;0,71;1,07;0,55
09190132;Iffeldorf;männlich;1,34;0,26;0,32;0,48;0,29
09190132;Iffeldorf;weiblich;1,34;0,23;0,30;0,53;0,28
09190132;Iffeldorf;Insgesamt;2,68;0,49;0,62;1,01;0,57
09190133;Ingenried;männlich;0,56;0,13;0,14;0,20;0,09
09190133;Ingenried;weiblich;0,53;0,11;0,15;0,19;0,09
09190133;Ingenried;Insgesamt;1,09;0,23;0,29;0,39;0,18
09190135;Oberhausen;männlich;1,04;0,18;0,26;0,40;0,21
09190135;Oberhausen;weiblich;1,06;0,17;0,23;0,43;0,23
09190135;Oberhausen;Insgesamt;2,10;0,35;0,48;0,82;0,44
09190136;Obersöchering;männlich;0,79;0,16;0,22;0,30;0,11
09190136;Obersöchering;weiblich;0,74;0,15;0,20;0,26;0,13
09190136;Obersöchering;Insgesamt;1,53;0,31;0,42;0,56;0,24
09190138;Pähl;männlich;1,19;0,19;0,26;0,51;0,23
09190138;Pähl;weiblich;1,26;0,22;0,31;0,50;0,24
09190138;Pähl;Insgesamt;2,45;0,41;0,57;1,01;0,47
09190139;Peißenberg, M;männlich;6,19;1,12;1,62;2,19;1,26
09190139;Peißenberg, M;weiblich;6,40;1,10;1,51;2,23;1,55
09190139;Peißenberg, M;Insgesamt;12,59;2,22;3,13;4,42;2,82
09190140;Peiting, M;männlich;5,78;0,89;1,52;2,14;1,22
09190140;Peiting, M;weiblich;5,65;0,87;1,29;2,02;1,47
09190140;Peiting, M;Insgesamt;11,43;1,76;2,82;4,16;2,69
09190141;Penzberg, St;männlich;8,14;1,48;2,15;2,89;1,62
09190141;Penzberg, St;weiblich;8,38;1,33;1,94;3,11;1,99
09190141;Penzberg, St;Insgesamt;16,51;2,81;4,09;6,01;3,61
09190142;Polling;männlich;1,76;0,32;0,44;0,63;0,37
09190142;Polling;weiblich;1,78;0,30;0,43;0,65;0,40
09190142;Polling;Insgesamt;3,54;0,63;0,87;1,28;0,76
09190143;Prem;männlich;0,43;0,07;0,11;0,16;0,10
09190143;Prem;weiblich;0,46;0,07;0,12;0,16;0,12
09190143;Prem;Insgesamt;0,90;0,14;0,23;0,31;0,22
09190144;Raisting;männlich;1,20;0,21;0,32;0,43;0,23
09190144;Raisting;weiblich;1,13;0,17;0,27;0,46;0,23
09190144;Raisting;Insgesamt;2,33;0,39;0,59;0,89;0,46
09190145;Rottenbuch;männlich;0,89;0,14;0,28;0,30;0,18
09190145;Rottenbuch;weiblich;0,90;0,18;0,22;0,29;0,22
09190145;Rottenbuch;Insgesamt;1,80;0,31;0,50;0,59;0,39
09190148;Schongau, St;männlich;6,16;1,06;1,77;2,09;1,24
09190148;Schongau, St;weiblich;6,21;1,05;1,53;2,15;1,49
09190148;Schongau, St;Insgesamt;12,38;2,11;3,30;4,24;2,73
09190149;Schwabbruck;männlich;0,49;0,10;0,13;0,17;0,09
09190149;Schwabbruck;weiblich;0,47;0,09;0,13;0,15;0,10
09190149;Schwabbruck;Insgesamt;0,96;0,18;0,26;0,32;0,20
09190151;Schwabsoien;männlich;0,71;0,15;0,20;0,25;0,12
09190151;Schwabsoien;weiblich;0,68;0,13;0,18;0,27;0,12
09190151;Schwabsoien;Insgesamt;1,39;0,28;0,38;0,51;0,23
09190152;Seeshaupt;männlich;1,55;0,27;0,34;0,55;0,40
09190152;Seeshaupt;weiblich;1,70;0,26;0,32;0,60;0,52
09190152;Seeshaupt;Insgesamt;3,25;0,53;0,66;1,15;0,91
09190153;Sindelsdorf;männlich;0,61;0,11;0,16;0,24;0,10
09190153;Sindelsdorf;weiblich;0,60;0,11;0,16;0,22;0,11
09190153;Sindelsdorf;Insgesamt;1,21;0,22;0,32;0,47;0,21
09190154;Steingaden;männlich;1,45;0,25;0,40;0,49;0,32
09190154;Steingaden;weiblich;1,43;0,27;0,35;0,48;0,34
09190154;Steingaden;Insgesamt;2,89;0,51;0,75;0,96;0,67
09190157;Weilheim i.OB, St;männlich;10,89;1,92;2,80;3,86;2,31
09190157;Weilheim i.OB, St;weiblich;11,68;1,82;2,65;4,10;3,12
09190157;Weilheim i.OB, St;Insgesamt;22,57;3,74;5,45;7,96;5,42
09190158;Wessobrunn;männlich;1,16;0,23;0,31;0,42;0,20
09190158;Wessobrunn;weiblich;1,11;0,22;0,26;0,42;0,21
09190158;Wessobrunn;Insgesamt;2,27;0,45;0,57;0,83;0,42
09190159;Wielenbach;männlich;1,63;0,32;0,38;0,59;0,35
09190159;Wielenbach;weiblich;1,57;0,27;0,35;0,60;0,36
09190159;Wielenbach;Insgesamt;3,21;0,59;0,73;1,19;0,70
09190160;Wildsteig;männlich;0,66;0,14;0,18;0,22;0,12
09190160;Wildsteig;weiblich;0,65;0,13;0,16;0,21;0,14
09190160;Wildsteig;Insgesamt;1,31;0,27;0,35;0,43;0,26
09261000;Landshut (Krfr.St);männlich;35,95;5,81;11,56;12,29;6,30
09261000;Landshut (Krfr.St);weiblich;37,46;5,69;10,64;12,41;8,72
09261000;Landshut (Krfr.St);Insgesamt;73,41;11,50;22,20;24,70;15,02
09262000;Passau (Krfr.St);männlich;25,61;3,47;9,61;7,86;4,67
09262000;Passau (Krfr.St);weiblich;27,19;3,46;9,12;7,99;6,62
09262000;Passau (Krfr.St);Insgesamt;52,80;6,93;18,73;15,85;11,29
09263000;Straubing (Krfr.St);männlich;24,09;3,62;7,52;8,57;4,38
09263000;Straubing (Krfr.St);weiblich;23,70;3,37;6,27;8,14;5,92
09263000;Straubing (Krfr.St);Insgesamt;47,79;7,00;13,79;16,71;10,30
09271111;Aholming;männlich;1,16;0,19;0,29;0,47;0,21
09271111;Aholming;weiblich;1,14;0,16;0,28;0,46;0,24
09271111;Aholming;Insgesamt;2,29;0,35;0,57;0,93;0,45
09271113;Auerbach;männlich;1,07;0,19;0,29;0,42;0,17
09271113;Auerbach;weiblich;1,05;0,19;0,27;0,42;0,17
09271113;Auerbach;Insgesamt;2,12;0,38;0,56;0,84;0,34
09271114;Außernzell;männlich;0,72;0,14;0,18;0,29;0,11
09271114;Außernzell;weiblich;0,74;0,14;0,20;0,28;0,12
09271114;Außernzell;Insgesamt;1,46;0,29;0,38;0,57;0,23
09271116;Bernried;männlich;2,42;0,36;0,71;0,89;0,46
09271116;Bernried;weiblich;2,36;0,36;0,56;0,90;0,53
09271116;Bernried;Insgesamt;4,78;0,72;1,27;1,79;0,99
09271118;Buchhofen;männlich;0,47;0,07;0,13;0,18;0,09
09271118;Buchhofen;weiblich;0,43;0,07;0,11;0,16;0,10
09271118;Buchhofen;Insgesamt;0,90;0,14;0,23;0,34;0,19
09271119;Deggendorf, GKSt;männlich;16,81;2,46;5,72;5,51;3,12
09271119;Deggendorf, GKSt;weiblich;16,91;2,30;4,66;5,74;4,21
09271119;Deggendorf, GKSt;Insgesamt;33,72;4,76;10,38;11,25;7,33
09271122;Grafling;männlich;1,37;0,23;0,34;0,54;0,26
09271122;Grafling;weiblich;1,40;0,23;0,34;0,53;0,31
09271122;Grafling;Insgesamt;2,77;0,46;0,68;1,07;0,57
09271123;Grattersdorf;männlich;0,62;0,10;0,14;0,27;0,12
09271123;Grattersdorf;weiblich;0,66;0,11;0,15;0,25;0,14
09271123;Grattersdorf;Insgesamt;1,28;0,21;0,29;0,52;0,26
09271125;Hengersberg, M;männlich;3,88;0,70;1,09;1,42;0,67
09271125;Hengersberg, M;weiblich;3,96;0,68;0,98;1,44;0,85
09271125;Hengersberg, M;Insgesamt;7,84;1,38;2,07;2,87;1,52
09271126;Hunding;männlich;0,59;0,10;0,14;0,23;0,12
09271126;Hunding;weiblich;0,57;0,09;0,15;0,21;0,12
09271126;Hunding;Insgesamt;1,16;0,19;0,28;0,45;0,24
09271127;Iggensbach;männlich;1,05;0,19;0,26;0,39;0,21
09271127;Iggensbach;weiblich;1,06;0,19;0,27;0,38;0,23
09271127;Iggensbach;Insgesamt;2,11;0,37;0,54;0,77;0,44
09271128;Künzing;männlich;1,56;0,24;0,39;0,60;0,34
09271128;Künzing;weiblich;1,61;0,24;0,37;0,61;0,38
09271128;Künzing;Insgesamt;3,17;0,48;0,76;1,21;0,72
09271130;Lalling;männlich;0,81;0,13;0,22;0,32;0,14
09271130;Lalling;weiblich;0,75;0,11;0,18;0,31;0,16
09271130;Lalling;Insgesamt;1,56;0,24;0,40;0,63;0,30
09271132;Metten, M;männlich;2,07;0,36;0,54;0,76;0,41
09271132;Metten, M;weiblich;2,15;0,32;0,52;0,80;0,52
09271132;Metten, M;Insgesamt;4,22;0,67;1,06;1,56;0,93
09271135;Moos;männlich;1,19;0,20;0,33;0,46;0,20
09271135;Moos;weiblich;1,15;0,18;0,28;0,45;0,23
09271135;Moos;Insgesamt;2,34;0,38;0,62;0,92;0,43
09271138;Niederalteich;männlich;0,89;0,18;0,22;0,35;0,15
09271138;Niederalteich;weiblich;0,88;0,16;0,20;0,36;0,16
09271138;Niederalteich;Insgesamt;1,77;0,33;0,42;0,70;0,31
09271139;Oberpöring;männlich;0,60;0,11;0,15;0,24;0,10
09271139;Oberpöring;weiblich;0,59;0,10;0,15;0,22;0,12
09271139;Oberpöring;Insgesamt;1,19;0,21;0,30;0,46;0,22
09271140;Offenberg;männlich;1,71;0,32;0,42;0,66;0,31
09271140;Offenberg;weiblich;1,72;0,32;0,42;0,66;0,33
09271140;Offenberg;Insgesamt;3,43;0,64;0,84;1,32;0,64
09271141;Osterhofen, St;männlich;5,83;0,96;1,53;2,17;1,17
