GENESIS-Tabelle: 12421-105
Demographiespiegel: Gemeinden, Durchschnittsalter/;;
Jugendquotient/Altenquotient, Stichtage;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;
Durchschnittsalter der Bevölkerung (Jahre);;
;;2019
09179123;Germering, GKSt;44,8
09179125;Grafrath;45,2
09179126;Gröbenzell;46,1
09179128;Hattenhofen;42,9
09179130;Jesenwang;45,6
09179131;Kottgeisering;44,3
09179132;Landsberied;41,9
09179134;Maisach;43,2
09179136;Mammendorf;41,9
09179137;Mittelstetten;43,9
09179138;Moorenweis;42,4
09179140;Oberschweinbach;44,6
09179142;Olching, St;43,2
09179145;Puchheim, St;44,2
09179147;Schöngeising;45,3
09179149;Türkenfeld;44,1
09180112;Bad Kohlgrub;43,7
09180113;Bad Bayersoien;45,4
09180114;Eschenlohe;47,1
09180115;Ettal;43,4
09180116;Farchant;46,1
09180117;Garmisch-Partenkirchen, M;47,7
09180118;Grainau;47,0
09180119;Großweil;42,6
09180122;Krün;46,3
09180123;Mittenwald, M;47,8
09180124;Murnau a.Staffelsee, M;46,1
09180125;Oberammergau;46,0
09180126;Oberau;46,3
09180127;Ohlstadt;45,5
09180128;Riegsee;46,6
09180129;Saulgrub;44,0
09180131;Schwaigen;44,0
09180132;Seehausen a.Staffelsee;45,9
09180133;Spatzenhausen;44,0
09180134;Uffing a.Staffelsee;45,3
09180135;Unterammergau;44,5
09180136;Wallgau;44,6
09180444;Gemeindefreie Gebiete;-
09181111;Apfeldorf;43,2
09181113;Denklingen;42,5
09181114;Dießen am Ammersee, M;47,5
09181115;Eching am Ammersee;45,5
09181116;Egling a.d.Paar;41,5
09181118;Eresing;42,7
09181120;Finning;41,3
09181121;Fuchstal;43,3
09181122;Geltendorf;43,7
09181123;Greifenberg;45,8
09181124;Hofstetten;43,2
09181126;Hurlach;38,1
09181127;Igling;42,8
09181128;Kaufering, M;45,0
09181129;Kinsau;43,2
09181130;Landsberg am Lech, GKSt;43,9
09181131;Obermeitingen;40,7
09181132;Penzing;44,3
09181133;Vilgertshofen;44,4
09181134;Prittriching;43,0
09181135;Reichling;42,8
09181137;Rott;43,0
09181138;Scheuring;41,8
09181139;Schondorf am Ammersee;45,3
09181140;Schwifting;43,5
09181141;Pürgen;42,5
09181142;Thaining;42,3
09181143;Unterdießen;42,7
09181144;Utting am Ammersee;45,4
09181145;Weil;41,8
09181146;Windach;43,6
09181444;Gemeindefreie Gebiete;-
09182111;Bad Wiessee;49,3
09182112;Bayrischzell;47,3
